,HDifHor,HDirNor,HGloHor,HHorIR,TBlaSky,TDewPoi,TDryBul,TWetBul,ceiHei,cloTim,nOpa,nTot,relHum,solAlt,solDec,solHouAng,solTim,solZen,winDir,winSpe,lat,lon,pAtm
16354800.0,5.23133352793515,3.580442626726682,3.5163969100882473,393.30043496606555,288.3663991989066,290.84634970747715,293.75961359450804,292.01691725918147,1339.6921570660315,16354800.0,0.7298703192473819,0.7293844753238437,0.8578360427732337,-0.2476405411125182,0.39163294264442844,1186.2278498122682,16355004.178082192,1.8184368414421603,3.8092870012810245,3.7226134979561585,0.7326892018318176,-1.5344934463500977,101325.0
16358400.0,6.214666897847772,4.253458158066284,4.17737377288679,389.511130694385,287.6536082089219,290.2056652051673,293.6898133439016,291.6195425094535,1393.8157507491437,16358400.0,0.6790940634668146,0.6785168954974985,0.8311134944223377,-0.22465817040028094,0.39154495264841543,1186.489625138235,16358603.835616438,1.7954544743446454,3.5416087129889013,3.833246740576339,0.7326892018318176,-1.5344934463500977,101325.0
16362000.0,7.198000267760395,4.926473689405885,4.838350635685333,385.7218264227044,286.9408172189373,289.56498070285744,293.62001309329514,291.2221677597255,1447.939344432256,16362000.0,0.6283178076862472,0.6276493156711532,0.8043909460714418,-0.20167579968804367,0.3914569626524024,1186.7514004642017,16362203.493150685,1.7724721072471306,3.2739304246967786,3.9438799831965197,0.7326892018318176,-1.5344934463500977,101325.0
16365600.0,8.181333637673017,5.599489220745487,5.499327498483876,381.9325221510238,286.2280262289526,288.9242962005476,293.5502128426887,290.8247930099975,1502.062938115368,16365600.0,0.5775415519056799,0.5767817358448081,0.777668397720546,-0.1786934289758064,0.39136897265638937,1187.0131757901684,16365803.150684932,1.7494897401496154,3.006252136404656,4.0545132258167005,0.7326892018318176,-1.5344934463500977,101325.0
16369200.0,9.16466700758564,6.272504752085089,6.160304361282418,378.14321787934324,285.515235238968,288.28361169823773,293.48041259208225,290.4274182602695,1556.1865317984802,16369200.0,0.5267652961251126,0.5259141560184628,0.75094584936965,-0.15571105826356912,0.3912809826603763,1187.274951116135,16369402.808219178,1.7265073730521006,2.7385738481125332,4.165146468436881,0.7326892018318176,-1.5344934463500977,101325.0
16372800.0,10.148000377498262,6.945520283424691,6.821281224080961,374.35391360766266,284.8024442489833,287.6429271959279,293.4106123414758,290.03004351054153,1610.3101254815924,16372800.0,0.47598904034454526,0.47504657619211765,0.7242233010187541,-0.13272868755133185,0.3911929926643633,1187.5367264421018,16373002.465753425,1.7035250059545857,2.4708955598204105,4.275779711057062,0.7326892018318176,-1.5344934463500977,101325.0
16376400.0,11.131333747410883,7.618535814764292,7.4822580868795034,370.5646093359821,284.0896532589986,287.00224269361803,293.34081209086935,289.63266876081354,1664.4337191647046,16376400.0,0.42521278456397793,0.4241789963657725,0.6975007526678582,-0.10974631683909458,0.39110500266835024,1187.7985017680687,16376602.12328767,1.6805426388570708,2.203217271528288,4.386412953677243,0.7326892018318176,-1.5344934463500977,101325.0
16380000.0,12.114667117323506,8.291551346103894,8.143234949678046,366.7753050643015,283.376862269014,286.3615581913081,293.27101184026293,289.23529401108556,1718.5573128478168,16380000.0,0.3744365287834106,0.37331141653942734,0.6707782043169623,-0.08676394612685728,0.39101701267233724,1188.0602770940354,16380201.780821918,1.657560271759556,1.9355389832361647,4.497046196297424,0.7326892018318176,-1.5344934463500977,101325.0
16383600.0,13.098000487236128,8.964566877443495,8.80421181247659,362.9860007926209,282.6640712790293,285.72087368899827,293.20121158965645,288.83791926135757,1772.680906530929,16383600.0,0.3236602730028433,0.3224438367130822,0.6440556559660664,-0.06378157541462004,0.3909290226763242,1188.3220524200021,16383801.438356165,1.6345779046620408,1.667860694944042,4.607679438917604,0.7326892018318176,-1.5344934463500977,101325.0
16387200.0,14.081333857148751,9.637582408783098,9.465188675275131,359.19669652094035,281.9512802890447,285.0801891866884,293.13141133905003,288.4405445116296,1826.8045002140411,16387200.0,0.27288401722227595,0.2715762568867369,0.6173331076151705,-0.040799204702382796,0.3908410326803112,1188.5838277459688,16387401.09589041,1.611595537564526,1.4001824066519193,4.718312681537785,0.7326892018318176,-1.5344934463500977,101325.0
