#1 
double tab(8641,2)
71400.0 275.43831983915345
71700.0 275.3939213882883
72000.0 275.35010580827634
72300.0 275.308044310857
72600.0 275.2665620022857
72900.0 275.2269470308573
73200.0 275.1876033609144
73500.0 275.14875913234283
73800.0 275.1096102491428
74100.0 275.070277792
74400.0 275.02937984365707
74700.0 274.9877951497141
75000.0 274.94370932114276
75300.0 274.8976250666667
75600.0 274.84899736103915
75900.0 274.78833069090916
76200.0 274.7227943272725
76500.0 274.6387945454546
76800.0 274.5511991272728
77100.0 274.4540263999997
77400.0 274.35316727272686
77700.0 274.2490127272726
78000.0 274.14398545454566
78300.0 274.0390856000005
78600.0 273.9386401454546
78900.0 273.84201350124215
79200.0 273.75266923952614
79500.0 273.67827249556757
79800.0 273.61319368475654
80100.0 273.56682712412766
80400.0 273.5246240518919
80700.0 273.4918887496807
81000.0 273.45978846836374
81300.0 273.4285231219262
81600.0 273.3913925802457
81900.0 273.35179599056517
82200.0 273.29450213723817
82500.0 273.228071837876
82800.0 273.1352570502054
83100.0 272.9620182556229
83400.0 272.71454191619875
83700.0 272.3519550466969
84000.0 271.9539371635854
84300.0 271.47986978786815
84600.0 271.000037546766
84900.0 270.5088128335936
85200.0 270.0461244684943
85500.0 269.60183453833696
85800.0 269.255248283237
86100.0 268.9468990168574
86400.0 268.77754230796063
86700.0 268.63409844733025
87000.0 268.5258569466091
87300.0 268.4276118136796
87600.0 268.3337329103603
87900.0 268.24680550418447
88200.0 268.16010789956715
88500.0 268.0734102949498
88800.0 267.983035865397
89100.0 267.8891569620777
89400.0 267.7840177823954
89700.0 267.6746835819803
90000.0 267.5469295867256
90300.0 267.41766305535293
90600.0 267.28529766949475
90900.0 267.1528319200002
91200.0 267.0202992614147
91500.0 266.8875043052284
91800.0 266.75460830351483
92100.0 266.6213405176566
92400.0 266.4878365043071
92700.0 266.3540008639025
93000.0 266.21968267280766
93300.0 266.0851456505858
93600.0 265.94924528786566
93900.0 265.8120998389338
94200.0 265.67102077226656
94500.0 265.5280111839998
94800.0 265.38310171733355
95100.0 265.2370301130665
95400.0 265.09066313599925
95700.0 264.945091269333
96000.0 264.80053316266674
96300.0 264.6581292960005
96600.0 264.51898190293366
96900.0 264.3820788362664
97200.0 264.25773149735375
97500.0 264.14210427339503
97800.0 264.0693196990358
98100.0 264.0126630006152
98400.0 263.97940753394863
98700.0 263.9610735688205
99000.0 263.94976148676926
99300.0 263.9425978985026
99600.0 263.9326803922051
